maximum hopcount = 30
HOP        RTT        COUNTRY    IP-ADDRESS           DOMAIN-NAME
1          1.942      US         10.22.167.254        *****     
2          2.710      LK         192.248.22.105       *****     
3          5.736      LK         192.248.1.125        *****     
4          45.216     LK         192.248.0.251        gs.learn.ac.lk.
5          42.422     US         209.85.173.170       *****     
6          50.179     US         108.170.240.172      *****     
7          ***        US         72.14.234.96         *****     
8          ***        US         72.14.233.27         *****     
9          43.634     US         74.125.24.105        *****     
10         42.904     US         74.125.24.106        *****     
11         43.318     US         74.125.24.105        *****     
12         42.981     US         74.125.24.104        *****     
-------------------
